Country,Land Area,Yearly Change,Urban,Net Change,Med Age,Regions,Population
China,9388211,0.0039,0.61,5540090,38,Asia,1439323776
India,2973190,0.0099,0.35,13586631,28,Asia,1380004385
Indonesia,1811570,0.0107,0.56,2898047,30,Asia,273523615
Sri Lanka,62710,0.0042,0.35,89516,34,Asia,21413249
Kazakhstan,2699700,0.0121,0.39,225280,31,Asia,18776707
Syria,183630,0.0252,0.92,430523,26,Asia,17500658
United Kingdom,241930,0.0053,0.36,355839,40,Europe,67886011
Tajikistan,139960,0.0232,0.76,216627,22,Asia,9537645
Israel,21640,0.016,0.76,136158,30,Asia,8655535
Aruba,180,0.0043,0.52,452,41,Latin America & Caribbean,106766
Laos,230800,0.0148,0.31,106105,24,Asia,7275560
Timor-Leste,14870,0.0196,0.82,25326,21,Asia,1318445
Cyprus,9240,0.0073,0.73,8784,37,Asia,1207359
Bhutan,38117,0.0112,0.25,8516,28,Asia,771608
Macao,30,0.0139,0.84,8890,39,Asia,649335
Maldives,300,0.0181,0.5,9591,30,Asia,540544
Brunei,5270,0.0097,0.78,4194,32,Asia,437479
Nigeria,910770,0.0258,0.38,5175990,18,Africa,206139589
United Arab Emirates,83600,0.0123,0.38,119873,33,Asia,9890402
Ethiopia,1000000,0.0257,0.21,2884858,19,Africa,114963588
Egypt,995450,0.0194,0.63,1946331,25,Africa,102334404
Angola,1246700,0.0327,0.79,1040977,17,Africa,32866272
Ghana,227540,0.0215,0.18,655084,22,Africa,31072940
Mozambique,786380,0.0293,0.58,889399,18,Africa,31255435
Reunion,2500,0.0072,0.6,6385,36,Africa,895312
Cambodia,176520,0.0141,0.47,232423,26,Asia,16718965
Comoros,1861,0.022,0.24,18715,20,Africa,869601
Western Sahara,266000,0.0255,0.91,14876,28,Africa,597339
Cabo Verde,4030,0.011,0.56,6052,28,Africa,555987
Mayotte,375,0.025,0.86,6665,20,Africa,272815
Sao Tome & Principe,960,0.0191,0.27,4103,19,Africa,219159
Seychelles,460,0.0062,0.93,608,34,Africa,98347
Saint Helena,390,0.003,N.A.,18,45,Africa,6077
Russia,16376870,0.0004,0.36,62206,40,Europe,145934462
Germany,348560,0.0032,0.78,266897,46,Europe,83783942
Peru,1280000,0.0142,0.35,461401,31,Latin America & Caribbean,32971854
France,547557,0.0022,0.53,143783,42,Europe,65273511
Italy,294140,-0.0015,N.A.,-88249,47,Europe,60461826
Greenland,410450,0.0017,0.26,98,30,Northern America,56770
Spain,498800,0.0004,0.8,18002,45,Europe,46754778
Norway,365268,0.0079,0.87,42384,40,Europe,5421241
Bermuda,50,-0.0036,0.28,-228,31,Northern America,62278
Ireland,68890,0.0113,N.A.,55291,38,Europe,4937786
Croatia,55960,-0.0061,0.58,-25037,44,Europe,4105267
Moldova,32850,-0.0023,0.67,-9300,38,Europe,4033963
Gibraltar,10,-0.0003,0.96,-10,40,Europe,33691
Holy See,20837,0.0025,0.89,2,40,Europe,801
Brazil,8358140,0.0072,0.33,1509890,33,Latin America & Caribbean,212559417
Mexico,1943950,0.0106,0.67,1357224,29,Latin America & Caribbean,128932753
Colombia,1109500,0.0108,0.46,543448,31,Latin America & Caribbean,50882891
Argentina,2736690,0.0093,N.A.,415097,32,Latin America & Caribbean,45195774
Samoa,2830,0.0067,0.39,1317,22,Oceania,198414
French Guiana,82200,0.027,0.8,7850,25,Latin America & Caribbean,298682
Bosnia and Herzegovina,51000,-0.0061,0.63,-20181,43,Europe,3280819
U.S. Virgin Islands,350,-0.0015,0.21,-153,43,Latin America & Caribbean,104425
Antigua and Barbuda,440,0.0084,0.43,811,34,Latin America & Caribbean,97929
Falkland Islands,12170,0.0305,0.46,103,30,Latin America & Caribbean,3480
United States,9147420,0.0059,0.67,1937734,38,Northern America,331002651
Canada,9093510,0.0089,0.37,331107,41,Northern America,37742154
Australia,7682300,0.0118,0.73,296686,38,Oceania,25499884
Papua New Guinea,452860,0.0195,0.35,170915,22,Oceania,8947024
New Zealand,263310,0.0082,0.64,39170,38,Oceania,4822233
Fiji,18270,0.0073,0.67,6492,28,Oceania,896445
New Caledonia,18280,0.0097,0.57,2748,34,Oceania,285498
French Polynesia,3660,0.0058,0.38,1621,34,Oceania,280908
Hong Kong,1050,0.0082,0.51,60827,45,Asia,7496981
Nauru,20,0.0063,0.56,68,21,Oceania,10824
Niue,260,0.0068,0.51,11,34,Oceania,1626
Tokelau,10,0.0127,0.17,17,60,Oceania,1357
